the_geom,OBJECTID,Name,Stacked,AnnoLine1,AnnoLine2,AnnoLine3,AnnoAngle,Borough
POINT (-73.84320266173454 40.68070846826546),150,Ozone Park,1,Ozone Park,,,0,Queens
POINT (-73.80986478649048 40.66854957767199),151,South Ozone Park,2,South,Ozone Park,,0,Queens
POINT (-73.84304528896132 40.78490274926025),152,College Point,2,College,Point,,0,Queens
POINT (-73.8142021661087 40.781290766026984),153,Whitestone,1,Whitestone,,,0,Queens
POINT (-73.77427363068676 40.76604063281068),154,Bayside,1,Bayside,,,0,Queens
POINT (-73.79176243728068 40.761729549032665),155,Auburndale,1,Auburndale,,,0,Queens
POINT (-73.73889775580747 40.77082619282674),156,Little Neck,2,Little,Neck,,0,Queens
POINT (-73.74249820727337 40.766846097907674),157,Douglaston,1,Douglaston,,,0,Queens
POINT (-73.71548118999152 40.74944079974336),158,Glen Oaks,2,Glen,Oaks,,0,Queens
POINT (-73.7201281482691 40.72857318176679),159,Bellerose,1,Bellerose,,,0,Queens
POINT (-73.82087764933573 40.72257824422808),160,Kew Gardens Hills,3,Kew,Gardens,Hills,0,Queens
POINT (-73.78271337003271 40.734394465331334),161,Fresh Meadows,2,Fresh,Meadows,,0,Queens
POINT (-73.81174822458641 40.710935472522756),162,Briarwood,1,Briarwood,,,0,Queens
POINT (-73.79690165888296 40.704657360687214),163,Jamaica Center,2,Jamaica,Center,,0,Queens
POINT (-73.75494976234339 40.74561857141858),164,Oakland Gardens,2,Oakland,Gardens,,0,Queens
POINT (-73.73871484578433 40.7188930921674),165,Queens Village,2,Queens,Village,,0,Queens
POINT (-73.75925009335602 40.71124344191908),166,Hollis,1,Hollis,,,0,Queens
POINT (-73.79042613135549 40.69691125378992),167,South Jamaica,1,South Jamaica,,,0,Queens
POINT (-73.75867603727725 40.69444538522363),168,St. Albans,1,St. Albans,,,0,Queens
POINT (-73.77258787620913 40.675211395917366),169,Rochdale,1,Rochdale,,,0,Queens
POINT (-73.76042092682295 40.666230490368626),170,Springfield Gardens,2,Springfield,Gardens,,0,Queens
POINT (-73.73526873708033 40.69277463916089),171,Cambria Heights,2,Cambria,Heights,,0,Queens
POINT (-73.73526079428285 40.65981643342812),172,Rosedale,1,Rosedale,,,0,Queens
POINT (-73.7549796804388 40.60313443250093),173,Far Rockaway,2,Far Rockaway,,,0,Queens
POINT (-73.82005489110327 40.603026583512424),174,Broad Channel,2,Broad,Channel,,0,Queens
POINT (-73.92551196994177 40.557401288454564),175,Breezy Point,2,Breezy,Point,,0,Queens
POINT (-73.90228960391681 40.77592301564293),176,Steinway,1,Steinway,,,0,Queens
POINT (-73.80436451720996 40.792781403600515),177,Beechhurst,1,Beechhurst,,,0,Queens
POINT (-73.77680222621588 40.7828428062456),178,Bay Terrace,2,Bay,Terrace,,0,Queens
POINT (-73.77613282391712 40.59564180736854),179,Edgemere,1,Edgemere,,,0,Queens
POINT (-73.7919923313695 40.58914394372975),180,Arverne,1,Arverne,,,0,Queens
POINT (-73.82236121088758 40.58280169684563),181,Seaside,1,Seaside,,,0,Queens
POINT (-73.85754672410836 40.57203673021705),182,Neponsit,1,Neponsit,,,0,Queens
POINT (-73.81276269135873 40.7641261226141),183,Murray Hill,2,Murray,Hill,,0,Queens
POINT (-73.70884705889253 40.74137842194548),184,Floral Park,1,Floral Park,,,0,Queens
POINT (-73.76714166714736 40.720957207644446),185,Holliswood,1,Holliswood,,,0,Queens
POINT (-73.78722696936667 40.716804830146174),186,Jamaica Estates,2,Jamaica,Estates,,0,Queens
POINT (-73.82580915110566 40.744572309286745),187,Queensboro Hill,2,Queensboro,Hill,,0,Queens
POINT (-73.79760300912679 40.72382490182924),188,Hillcrest,1,Hillcrest,,,0,Queens
POINT (-73.93157506072886 40.76170452605419),189,Ravenswood,1,Ravenswood,,,0,Queens
POINT (-73.84963782402448 40.66391841925143),190,Lindenwood,1,Lindenwood,,,0,Queens
POINT (-73.74025607989829 40.667883896602504),191,Laurelton,1,Laurelton,,,0,Queens
POINT (-73.86252471413746 40.73607457083084),192,Lefrak City,2,Lefrak,City,,0,Queens
POINT (-73.85401750392529 40.57615556543113),193,Belle Harbor,1,Belle Harbor,,,0,Queens
POINT (-73.84153370226193 40.58034295646135),194,Rockaway Park,1,Rockaway Park,,,0,Queens
POINT (-73.79664750844056 40.59771061565772),195,Somerville,1,Somerville,,,0,Queens
POINT (-73.7517531073116 40.66000322733616),196,Brookville,1,Brookville,,,0,Queens
POINT (-73.73889198912488 40.73301404027838),197,Bellaire,1,Bellaire,,,0,Queens
POINT (-73.85751790676454 40.75407099904894),198,North Corona,2,North,Corona,,0,Queens
POINT (-73.84102211234017 40.71461108151174),199,Forest Hills Gardens,3,Forest,Hills,Gardens,0,Queens
POINT (-74.07935312512804 40.64498157100444),200,St. George,2,St.,George,,0,Staten Island
POINT (-74.08701650516633 40.64061455913515),201,New Brighton,2,New,Brighton,,0,Staten Island
POINT (-74.07790192660073 40.6269276253818),202,Stapleton,1,Stapleton,,,0,Staten Island
POINT (-74.06980526716148 40.61530494652765),203,Rosebank,1,Rosebank,,,0,Staten Island
POINT (-74.10718178265617 40.63187892654611),204,West Brighton,2,West,Brighton,,0,Staten Island
POINT (-74.08724819983736 40.62418479131304),205,Grymes Hill,2,Grymes,Hill,,0,Staten Island
POINT (-74.11132881800887 40.59706851814676),206,Todt Hill,2,Todt,Hill,,0,Staten Island
POINT (-74.07955292539827 40.5802474135096),207,South Beach,2,South,Beach,,0,Staten Island
POINT (-74.12943426797015 40.63366930554369),208,Port Richmond,2,Port,Richmond,,0,Staten Island
POINT (-74.15008537046988 40.63254639048117),209,Mariner's Harbor,2,Mariner's,Harbor,,0,Staten Island
POINT (-74.17464532993549 40.63968297845546),210,Port Ivory,2,Port,Ivory,,0,Staten Island
POINT (-74.1191805853485 40.613335937667465),211,Castleton Corners,2,Castleton,Corners,,0,Staten Island
POINT (-74.16496031329834 40.59425237916174),212,New Springville,2,New,Springville,,0,Staten Island
POINT (-74.19073717538123 40.58631375103285),213,Travis,1,Travis,,,0,Staten Island
POINT (-74.11647943606387 40.57257231820636),214,New Dorp,2,New,Dorp,,0,Staten Island
POINT (-74.12156593771904 40.558462243288844),215,Oakwood,1,Oakwood,,,0,Staten Island
POINT (-74.14932381490999 40.54948022871365),216,Great Kills,2,Great,Kills,,0,Staten Island
POINT (-74.16433080419367 40.54223074745079),217,Eltingville,1,Eltingville,,,0,Staten Island
POINT (-74.17854866165885 40.538114174745104),218,Annadale,1,Annadale,,,0,Staten Island
POINT (-74.22135055371616 40.53745265012707),219,Woodrow,1,Woodrow,,,0,Staten Island
POINT (-74.24656934235291 40.505333761156464),220,Tottenville,1,Tottenville,,,0,Staten Island
