Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
518562,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,204.0,East New York,2012-2014,01/02/2012,115.2,
412115,386,Ozone (O3),Mean,ppb,CD,403.0,Jackson Heights (CD3),Summer 2016,06/01/2016,33.0,
602744,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208.0,Canarsie - Flatlands,Annual Average 2018,01/01/2018,14.5,
176071,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307.0,Gramercy Park - Murray Hill,Summer 2013,06/01/2013,33.9,
179423,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,1.0,Bronx,Annual Average 2010,12/01/2009,22.2,
336509,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107.0,Hunts Point - Mott Haven,Summer 2015,06/01/2015,16.5,
170356,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204.0,Highbridge and Concourse (CD4),Annual Average 2012,12/01/2011,10.4,
170368,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304.0,Bushwick (CD4),Annual Average 2012,12/01/2011,9.2,
823576,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,503.0,Tottenville and Great Kills (CD3),Summer 2022,06/01/2022,5.6,
547719,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,317.0,East Flatbush (CD17),Summer 2017,06/01/2017,9.1,
168468,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204.0,Highbridge and Concourse (CD4),Winter 2009-10,12/01/2009,12.5,
168586,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204.0,Highbridge and Concourse (CD4),Winter 2011-12,12/01/2011,11.4,
547646,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204.0,Highbridge and Concourse (CD4),Winter 2016-17,12/01/2016,8.7,
547644,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204.0,Highbridge and Concourse (CD4),Summer 2017,06/01/2017,10.2,
669599,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103.0,Lower East Side and Chinatown (CD3),Summer 2020,06/01/2020,7.9,
823253,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,Summer 2022,06/01/2022,8.0,
823250,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308.0,Greenwich Village - SoHo,Summer 2022,06/01/2022,8.0,
178539,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208.0,Canarsie - Flatlands,Annual Average 2012,12/01/2011,8.4,
178560,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,408.0,Jamaica,Annual Average 2012,12/01/2011,8.5,
823220,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,408.0,Jamaica,Summer 2022,06/01/2022,6.3,
179726,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,408.0,Jamaica,2015,01/01/2015,13.1,
669945,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,404.0,Elmhurst and Corona (CD4),Summer 2020,06/01/2020,7.1,
643556,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103.0,Lower East Side and Chinatown (CD3),Summer 2019,06/01/2019,19.9,
176564,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207.0,East Flatbush - Flatbush,Annual Average 2010,12/01/2009,23.6,
643361,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208.0,Canarsie - Flatlands,Summer 2019,06/01/2019,9.2,
643307,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,2.0,Brooklyn,Summer 2019,06/01/2019,13.4,
131542,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,408.0,Jamaica,2009-2011,01/01/2009,12.7,
131532,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,308.0,Greenwich Village - SoHo,2009-2011,01/01/2009,5.4,
130907,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,307.0,Gramercy Park - Murray Hill,2005-2007,01/01/2005,13.0,
130908,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,308.0,Greenwich Village - SoHo,2005-2007,01/01/2005,5.9,
827577,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",Borough,1.0,Bronx,2017-2019,01/01/2017,12.0,
130927,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",Borough,2.0,Brooklyn,2005-2007,01/01/2005,19.6,
179818,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,410.0,Rockaways,2015,01/01/2015,0.0,
179840,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,206.0,Borough Park,2015,01/01/2015,0.2,
179744,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,206.0,Borough Park,2015,01/01/2015,34.4,
151612,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,410.0,Rockaways,2009-2011,01/01/2009,9.0,
151590,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,209.0,Bensonhurst - Bay Ridge,2009-2011,01/01/2009,2.9,
151602,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,310.0,Lower Manhattan,2009-2011,01/01/2009,2.6,
518972,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,409.0,Southeast Queens,2012-2014,01/02/2012,21.9,
518952,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,210.0,Coney Island - Sheepshead Bay,2012-2014,01/02/2012,17.9,
518933,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Borough,3.0,Manhattan,2012-2014,01/02/2012,40.8,
628521,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,409.0,Southeast Queens,2015-2017,01/01/2015,17.9,
518951,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,209.0,Bensonhurst - Bay Ridge,2012-2014,01/02/2012,10.4,
628954,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,410.0,Rockaways,2015-2017,01/01/2015,63.0,
131246,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,310.0,Lower Manhattan,2005-2007,01/01/2005,35.0,
518557,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,106.0,High Bridge - Morrisania,2012-2014,01/02/2012,134.5,
518568,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,210.0,Coney Island - Sheepshead Bay,2012-2014,01/02/2012,26.8,
518579,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,310.0,Lower Manhattan,2012-2014,01/02/2012,24.6,
518589,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,410.0,Rockaways,2012-2014,01/02/2012,72.6,
518732,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,409.0,Southeast Queens,2012-2014,01/02/2012,4.3,
518693,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",Borough,3.0,Manhattan,2012-2014,01/02/2012,4.2,
518712,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,210.0,Coney Island - Sheepshead Bay,2012-2014,01/02/2012,8.0,
518723,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,310.0,Lower Manhattan,2012-2014,01/02/2012,2.5,
518711,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,209.0,Bensonhurst - Bay Ridge,2012-2014,01/02/2012,6.5,
629172,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,209.0,Bensonhurst - Bay Ridge,2015-2017,01/01/2015,6.3,
629169,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,206.0,Borough Park,2015-2017,01/01/2015,4.8,
